tipo,repositorio,numero,titulo,status,responsaveis,url
Issue,Lab_Experimentacao_Software,41,Lab02_Sprint03 - Exportar snapshot do Project e relatório do laboratório 2,Doing,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/41
Issue,Lab_Experimentacao_Software,39,Lab02_Sprint03 - Análise RQ3 — métricas estáticas e normalização por LOC,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/39
Issue,Lab_Experimentacao_Software,38,Lab02_Sprint03 - Análise estatística RQ1/RQ2 — Wilcoxon pareado para tempo e taxa de sucesso,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/38
Issue,Lab_Experimentacao_Software,40,"Lab02_Sprint03 - Relatório Final — hipóteses, metodologia, resultados por RQ e discussão",Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/40
