repositorio,numero,titulo,status,responsaveis,url
Lab_Experimentacao_Software,1,Lab01_Sprint01 - RQ01 e RQ02: idade e pull requests aceitas,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/1
Lab_Experimentacao_Software,6,Lab01_Sprint01 - Extra: correlação RQ05 x RQ06 (linguagem popular x taxa de issues fechadas),Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/6
Lab_Experimentacao_Software,3,Lab01_Sprint01 - RQ05 e RQ06: linguagem e issues fechadas,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/3
Lab_Experimentacao_Software,2,Lab01_Sprint01 - RQ03 e RQ04: releases e última atualização,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/2
