tipo,repositorio,numero,titulo,status,responsaveis,url
Issue,Lab_Experimentacao_Software,16,Lab01_Sprint03 - Exportar snapshot do Project,Doing,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/16
Issue,Lab_Experimentacao_Software,17,Lab01_Sprint03 - Relatório Final Lab01,Review,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/17
Issue,Lab_Experimentacao_Software,13,Lab01S03 - Finalização da RQ07 (extra) e Geração dos Gráficos,Done,analuizazzz,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/13
Issue,Lab_Experimentacao_Software,15,Lab01S03 - Análise (extra) RQ01 e RQ02,Done,WalterLouback,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/15
Issue,Lab_Experimentacao_Software,14,Lab01S03 - Análise (extra) RQ03 e RQ04,Done,bruna-bernardes,https://github.com/bruna-bernardes/Lab_Experimentacao_Software/issues/14
